DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,AVG_PRICE_PER_UNIT,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
2018-07-22,119,119304,123323,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-22,123,123230,127015,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-04,123,123334,127466,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-22,123,123341,127495,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-18,125,125217,129165,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-27,126,126097,129975,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-23,126,126369,130358,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-09,128,128105,131217,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-10,128,128105,131218,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-24,128,128117,131301,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-18,128,128121,131331,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-05-27,130,130091,134040,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-04,133,133184,137225,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-21,138,138143,141373,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-08,143,143179,143579,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-03-11,144,144077,144304,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-13,147,147029,145895,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-13,148,148284,148208,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-06-21,148,148284,148211,4,Dorito Corn Chp     Supreme 380g,1,6.5,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-02-07,149,149204,148872,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-26,149,149236,148923,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2019-02-22,151,151295,150001,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1,4.6,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-13,153,153201,152755,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-04,153,153220,152831,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-07,153,153262,152999,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-20,153,153335,153304,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-07,154,154196,154268,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-16,154,154375,154978,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-19,155,155206,156328,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-18,157,157185,159567,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-02,160,160242,161676,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-15,162,162096,162412,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-24,163,163402,163692,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,165,165011,165435,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-27,165,165197,166300,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-27,165,165242,166532,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-07,165,165281,166713,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-07-23,165,165333,166949,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-19,165,165333,166950,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-21,165,165333,166951,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-16,166,166126,167721,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-06,168,168117,170056,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-22,169,169131,171178,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-25,170,170192,171915,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-12-12,173,173043,174368,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-16,173,173043,174369,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-12,175,175171,176083,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-03-02,175,175217,176271,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-01-29,175,175291,176575,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-10-29,176,176154,177123,4,Dorito Corn Chp     Supreme 380g,1,6.5,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-11-02,178,178004,177598,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-09-09,179,179101,179903,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-08-07,180,180211,182379,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-27,181,181047,182765,4,Dorito Corn Chp     Supreme 380g,2,13.0,6.5,380.0,Dorito,MIDAGE SINGLES/COUPLES,Budget
2018-09-04,181,181368,184106,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-10-17,181,181371,184117,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-04-28,183,183130,185588,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,4.6,150.0,Kettle,MIDAGE SINGLES/COUPLES,Budget
